epoch,step,train_loss_epoch,train_loss_step
0,21,21.167478561401367,
1,43,12.059412002563477,
2,49,,10.722718238830566
2,65,10.925456047058105,
3,87,10.972432136535645,
4,99,,9.428479194641113
4,109,10.384305000305176,
5,131,9.795538902282715,
6,149,,10.398762702941895
6,153,9.39120101928711,
7,175,8.807994842529297,
8,197,8.950379371643066,
9,199,,10.652215957641602
9,219,8.911337852478027,
10,241,8.548578262329102,
11,249,,7.445589065551758
11,263,8.389568328857422,
12,285,8.166733741760254,
13,299,,8.277424812316895
13,307,7.59030294418335,
14,329,7.7891950607299805,
