epoch,step,train_loss_epoch,train_loss_step
0,21,21.584718704223633,
1,43,11.124832153320312,
2,49,,10.685696601867676
2,65,9.969120025634766,
3,87,9.481142044067383,
4,99,,11.712303161621094
4,109,10.654315948486328,
5,131,8.880230903625488,
6,149,,6.310666561126709
6,153,8.140567779541016,
7,175,8.134915351867676,
8,197,7.684498310089111,
9,199,,7.080173492431641
9,219,7.390813827514648,
10,241,8.228652954101562,
11,249,,7.936832427978516
11,263,7.6381754875183105,
12,285,6.82404899597168,
13,299,,7.0504469871521
13,307,7.113900661468506,
14,329,6.738195896148682,
