epoch,step,train_loss_epoch,train_loss_step
0,21,104.5824966430664,
1,43,51.99357986450195,
2,49,,31.078887939453125
2,65,37.397884368896484,
3,87,33.55149841308594,
4,99,,41.93407440185547
4,109,33.26354217529297,
5,131,33.58949279785156,
6,149,,29.918291091918945
6,153,27.182340621948242,
7,175,25.764307022094727,
8,197,26.402685165405273,
9,199,,20.768802642822266
9,219,23.62006187438965,
10,241,24.021814346313477,
11,249,,20.859086990356445
11,263,22.81890296936035,
12,285,24.74675750732422,
13,299,,27.57232093811035
13,307,25.588315963745117,
14,329,24.695528030395508,
