epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,21,,,3.9005775451660156,0.07313521206378937,4.709789276123047,0.07695982605218887,3.6509480476379395
0,21,12.020700454711914,,,,,,
1,43,,,2.313326358795166,0.0431942455470562,2.918207883834839,0.04473116248846054,1.4644123315811157
1,43,5.082338333129883,,,,,,
2,49,,3.9948089122772217,,,,,
2,65,,,2.0358963012695312,0.03887500613927841,2.3423829078674316,0.03789001703262329,1.612757921218872
2,65,3.8192427158355713,,,,,,
3,87,,,3.826908588409424,0.07258813083171844,3.932752847671509,0.06989135593175888,2.6961331367492676
3,87,3.094794273376465,,,,,,
4,99,,2.5258777141571045,,,,,
4,109,,,1.3881900310516357,0.02591005526483059,1.6146024465560913,0.02635747753083706,0.9425491094589233
4,109,2.8633785247802734,,,,,,
5,131,,,7.890957832336426,0.1493326723575592,7.941166400909424,0.1387985646724701,3.860374927520752
5,131,2.7997000217437744,,,,,,
6,149,,3.4562790393829346,,,,,
6,153,,,1.370917558670044,0.025684554129838943,1.4930665493011475,0.026007896289229393,0.917380690574646
6,153,2.8597331047058105,,,,,,
7,175,,,4.643570899963379,0.08820826560258865,4.8622846603393555,0.08411182463169098,2.564243793487549
7,175,2.951306104660034,,,,,,
8,197,,,4.0365777015686035,0.07668055593967438,4.230814456939697,0.07355958223342896,1.7324330806732178
8,197,2.7712924480438232,,,,,,
9,199,,2.1584231853485107,,,,,
9,219,,,3.53892183303833,0.06725220382213593,3.7259175777435303,0.06481681019067764,1.7041648626327515
9,219,2.5309994220733643,,,,,,
10,241,,,4.590422630310059,0.0871506854891777,4.765380859375,0.08321569114923477,1.9981167316436768
10,241,2.3514280319213867,,,,,,
11,249,,1.785556435585022,,,,,
11,263,,,5.038996696472168,0.09555038809776306,5.1640706062316895,0.09096013009548187,2.426543712615967
11,263,2.376642942428589,,,,,,
